droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
"amlodipina, losartán,potásico",amlodipina + losartan + potasico,9,"ANTIPRESOL A 100, NITEN MAX 5/100, NITEN MAX 5/50",,,
"bario,sulfato",bario + sulfato,9,"BARIO DIF CITRATADO, E Z CAT, GASTROPAQUE F",,,
bortezomib,bortezomib,9,"ACTIMIB, BORMIB, BORTEZOMIB EVEREX","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 4, 'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 2}",,
brexpiprazol,brexpiprazol,9,"BREMIDAN, BREXIL","clases en disputa: {'Sistema Nervioso Central: Antipsicótico': 5, 'Sistema Nervioso Central: Antipsicóticos Neurolépticos': 9}",,
buprenorfina,buprenorfina,9,"BIVALIS, BUPRIVA, RESTIVA",,,
ciprofloxacina,ciprofloxacina,9,"CIPROFLOXACINA HLB, CIPROFLOXACINA SANT GALL, CIPROFLOXACINA VANNIER","atc en disputa: {'J01MA02': 22, 'J01MA': 1, 'S01AE03': 5, 'S03AA': 1} | clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Quinolonas': 21, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Amfenicoles': 1, 'Oftálmicos: Antiinfecciosos': 5, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Quinolonas\nAntiinfecciosos de Uso Sistémico: Antibióticos: Sulfonamidas y Asociaciones': 1, 'Oftálmicos: Antiinfecciosos\nOftálmicos: Antiinflamatorios Antialérgicos': 1}",,
clindamicina,clindamicina,9,"CLIDAN, CLIDAN 300, CLINDAMICINA DUNCAN","atc en disputa: {'J01FF01': 9, 'D10AF01': 3} | clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Lincosamidas': 5, 'Piel y Mucosas: Antibacterianos Tópicos': 2, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Otros\nAparato Genito-Urinario: Antiinfecciosos de Acción Local': 2, 'Piel y Mucosas: Antiacneicos': 2, 'Piel y Mucosas: Antiacneicos\nPiel y Mucosas: Antibacterianos Tópicos': 1}",,
"diclofenac sódico, paracetamol",diclofenac sodico + paracetamol,9,"A, DIOXAFLEX CB GESIC, NODOLERTE SABOR NARANJA (",,,
itopride,itopride,9,"AFLUSAN, DOMEKA, ITOPLUS","clases en disputa: {'Aparato Digestivo: Tratamiento de Trastornos Gastrointestinales': 1, 'Aparato Digestivo: Procinéticos Gastrointestinales': 2}",,
lisado bacteriano,lisado bacteriano,9,"BRONCHO-VAXOM ADULTOS, BRONCHO-VAXOM NI¥OS, OMMUNAL ADULTOS",,,
loperamida,loperamida,9,"LANSEKA, LOPERAMIDA VANNIER, LOPERAPID","clases en disputa: {'Aparato Digestivo: Antidiarreicos Reconstituyentes de la Flora': 10, 'Aparato Digestivo: Antidiarreico': 2}",,
