droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
"pramoxina, fenilefrina, asoc.",asoc. + fenilefrina + pramoxina,1,CONTRACTIL F,,,
"prasterona, procaína, asoc.",asoc. + prasterona + procaina,1,LONGEVITAL,,,
praziquantel,praziquantel,1,PRAZITRAL,,,
"prednisolona acetato, fenilefr",fenilefr + prednisolona acetato,1,FENIPRED ACETATO,,,
"prednisolona, cloramfenicol",cloramfenicol + prednisolona,1,ESODAR,,,
primidona,primidona,1,MYSODONE,,,
"propinox, dipirona",dipirona + propinox,1,APASMO COMPUESTO,,,
"propranolol,clorh.",clorh. + propranolol,1,PROPADER,,,
"pseudoefedrina, asoc.",asoc. + pseudoefedrina,1,NASTIZOL,,,
psidium guajava,psidium guajava,1,QG5,,,
"quinidina,sulfato",quinidina + sulfato,1,QUINIDINA,,,
rasburicasa,rasburicasa,1,FASTURTEC,,,
rebamipida,rebamipida,1,MUXIN,,,
"ribosomas, proteoglicanos",proteoglicanos + ribosomas,1,SUMMAVAC R,,,
"rifampicina, isoniacida",isoniacida + rifampicina,1,RIFALEP PLUS,,,
rilpivirina,rilpivirina,1,REKAMBYS,,,
risdiplam,risdiplam,1,EVRYSDI,,,
"risedronato, calcio carbonato, vitamina d",calcio carbonato + risedronato + vitamina d,1,RIBASTAMIN 150 DUO,,,
ritonavir,ritonavir,1,RITONAVIR,,,
romiplostim,romiplostim,1,NPLATE,,,
romosozumab,romosozumab,1,EVENITY,,,
ropeginterferón alfa-2bbesremi,ropeginterferon alfa-2bbesremi,1,,,,
"rosuvastatina, fenofibrato",fenofibrato + rosuvastatina,1,NODIS FENO 10/200,,,
"ruibarbo,extr., salicílico,ác.",ac. + extr. + ruibarbo + salicilico,1,ORALSONE TOPIC,,,
sacituzumab govitecán,sacituzumab govitecan,1,TRODELVY,,,
"salicílico,ác., glicólico,ác.",ac. + glicolico + salicilico,1,ASEPXIA ADAPALENO,,,
satralizumab,satralizumab,1,ENSPRYNG,,,
selenio,selenio,1,SELENASE T,,,
"sodio,acexamato, cetrimida",acexamato + cetrimida + sodio,1,MERTHIOLATE CICATRIZANTE,,,
"sodio acexamato, cetrimonio bromuro",cetrimonio bromuro + sodio acexamato,1,BAGODERM VL,,,
"sodio,carbonato",carbonato + sodio,1,OTOCLEAN GOTAS OTICAS,,,
"sodio,cloruro, carragenina",carragenina + cloruro + sodio,1,NASITRAL,,,
"sodio,dioctilsulfosuccinato",dioctilsulfosuccinato + sodio,1,CERUMEX,,,
"sodio,fusidato",fusidato + sodio,1,ACIFUSIN,,,
"sodio,picosulfato, asoc.",asoc. + picosulfato + sodio,1,NOVOPREP,,,
"sodio,sulfato anhidro, asoc.",asoc. + sodio + sulfato anhidro,1,SULFODOM,,,
"sodio,valproato",sodio + valproato,1,PROVAL,,,
"solifenacina, tamsulosina",solifenacina + tamsulosina,1,ESPONTAL MAX,"clases en disputa: {'Aparato Genito-Urinario: Terapéutica Prostática': 1, 'Aparato Genito-Urinario: Terapéutica Prostática\nAparato Genito-Urinario: Tratamiento de la Cistitis Intersticial': 1, 'Aparato Genito-Urinario: Antiespasmódicos Antiinflamatorios': 1}",,
sotorasib,sotorasib,1,LUMAKRAS,,,
suero antitimocitario,suero antitimocitario,1,TIMOGLOBULINA,,,
"sulfacetamida sódica, asoc.",asoc. + sulfacetamida sodica,1,DERMASEB,,,
sulfadiazina,sulfadiazina,1,SULFADIAZINA VANNIER,,,
sulfadiazina de plata,sulfadiazina de plata,1,SULFATRAL,,,
tafamidis,tafamidis,1,TALNIF,,,
tafasitamab,tafasitamab,1,MINJUVI,,,
tafluprost,tafluprost,1,SAFLUTAN,,,
"tamsulosina, tadalafilo momentum plus",tadalafilo momentum plus + tamsulosina,1,CÁPS. X 30,,,
teduglutida,teduglutida,1,REVESTIVE,,,
teofilina anhidra,teofilina anhidra,1,DRILYNA,,,
tepotinib,tepotinib,1,TEPMETKO,,,
tetraciclina,tetraciclina,1,CICLOTETRYL 500,,,
"tetraciclina, metronidazol, bi",bi + metronidazol + tetraciclina,1,TRYLORI,,,
"tetrapéptidos, asoc.",asoc. + tetrapeptidos,1,COLTIX ADVANCE COLIRIO,,,
timomodulina,timomodulina,1,LEUCOTROFINA,,,
"tiocol, asoc.",asoc. + tiocol,1,PECTOBRON,,,
tioguanina,tioguanina,1,LANVIS,,,
"tiotropio, olodaterol",olodaterol + tiotropio,1,SPIOLTO RESPIMAT,,,
"tirotricina, asoc.",asoc. + tirotricina,1,ORALSONE C,,,
"tirotricina, benzocaína, asoc.",asoc. + benzocaina + tirotricina,1,FANALETAS CARAMELOS (VENT,,,
"tobramicina, dexametasona, asogotabiotic d",asogotabiotic d + dexametasona + tobramicina,1,COLIRIO X,,,
"tobramicina, dexametasona, asot+d+h dorf",asot+d+h dorf + dexametasona + tobramicina,1,SOL.OFT.X,,,
"toxoide tetánico, diftérico",difterico + toxoide tetanico,1,DITE (EX VACUNA DOBLE ADUA.X 1 X,,,
trastuzumab deruxtecan,trastuzumab deruxtecan,1,ENHERTU,,,
"trehalosa, caboximetilcelulosa",caboximetilcelulosa + trehalosa,1,AUCIC PLUS LC,,,
trifaroteno,trifaroteno,1,AKLIEF,,,
"trimebutina, domperidona, sime",domperidona + sime + trimebutina,1,COLIXANE DISTEN,,,
trióxido arsénico,trioxido arsenico,1,VARITRINOX,,,
troxerrutina,troxerrutina,1,GOICOECHEA FLEBO,,,
"ulipristal,acetato",acetato + ulipristal,1,EFECTIVAL,,,
umeclidinio,umeclidinio,1,INCRUSE ELLIPTA,,,
"umeclidinio, vilanterol",umeclidinio + vilanterol,1,ANORO ELLIPTA,,,
"undecilénico,ác., asoc.",ac. + asoc. + undecilenico,1,SINAMIDA PIES ANTIMICOTIC,,,
vacuna antipoliomielítica triv,vacuna antipoliomielitica triv,1,VACUNA INACT.CONTRA POLIO,,,
vacuna antirrábica,vacuna antirrabica,1,VERORAB,,,
vacuna antitifoidea,vacuna antitifoidea,1,TYPHIM VI,,,
"vacuna dpt, antipoliomielítica",antipoliomielitica + vacuna dpt,1,TETRAXIM,,,
valeriana,valeriana,1,VALERIANA,,,
"valproico,ác.",ac. + valproico,1,EXIBRAL,,,
"vecuronio,brom.",brom. + vecuronio,1,VECURONIO GRAY,,,
velaglucerasa alfa,velaglucerasa alfa,1,VPRIV,,,
vinblastina,vinblastina,1,VINBLASTINA KEMEX,,,
virus atenuados fiebre amarill,virus atenuados fiebre amarill,1,STAMARIL,,,
"virus sarampión, papera, rubéo proquad",papera + rubeo proquad + virus sarampion,1,VIAL,,,
"vit.a, asoc.",asoc. + vit.a,1,CICATRICURE REPARACION EP,,,
"vit.a, triamcinolona",triamcinolona + vit.a,1,BAGOVIT A PLUS,,,
"vit.a, vit.d, asoc.",asoc. + vit.a + vit.d,1,ADEROGYL,,,
"vit.b,complejo, asoc.",asoc. + complejo + vit.b,1,BAGO B6 B12 FOLICO,,,
vit.b1,vit.b1,1,TIAMINA 300,,,
"vit.b1 b6 b12, ác.tióctico",ac.tioctico + vit.b1 b6 b12,1,BAGO B1 B6 B12 DETOX,,,
"vit.d, zinc,óx., bórico,ác.",ac. + borico + ox. + vit.d + zinc,1,DR.SELBY,,,
vit.k1,vit.k1,1,KONAKION MM,,,
